,Answer_Number,Label,Point_Recommendation,Question_Number,Question_Number_V2,Question_Type,Schema,Unnamed: 0,Unnamed: 0.1,agreed_Answer,agreement_adjusted_points,agreement_score,alpha_unitizing_score,alpha_unitizing_score_inclusive,answer_content,answer_uuid,article_num,article_sha256,binary_odds_by_chance,coding_perc_agreement,highlighted_indices,num_answer_choices,num_users,odds_by_chance,one_two_diff,prereq_passed,question_text,question_type,quiz_task_uuid,schema,schema_namespace,schema_sha256,target_text
4,2.0,Inappropriate confidence,-0.5,2.0,,ordinal,Probability,4,84.0,2.0,-0.3406744095452772,0.6813488190905544,,,Mostly justified,,1731.0,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0.5,0.6813488190905544,[],5.0,13.0,0.5,0.6813488190905544,True,To what extent does the confidence seem justified?,ordinal,a0676049-64a3-4b96-8a7d-a41eaaee3723,Probability,Probability Specialist V4,,
5,2.0,Inappropriate confidence,-0.5,2.0,,ordinal,Probability,5,41.0,2.0,-0.41346135809942336,0.8269227161988467,,,Mostly justified,,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,0.5,0.8269227161988467,[],5.0,12.0,0.5,0.8269227161988467,True,To what extent does the confidence seem justified?,ordinal,49af7261-174a-4ade-a2e1-8208050e50bf,Probability,Probability Specialist V4,,
6,2.0,Inappropriate confidence,-0.5,2.0,,ordinal,Probability,6,75.0,2.0,-0.2929731823215107,0.5859463646430214,,,Mostly justified,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.5859463646430214,[],5.0,13.0,0.5,0.5859463646430214,True,To what extent does the confidence seem justified?,ordinal,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability,Probability Specialist V4,,
7,2.0,Inappropriate confidence,-0.5,2.0,,ordinal,Probability,7,68.0,2.0,-0.36204082208721705,0.7240816441744341,,,Mostly justified,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.7240816441744341,[],5.0,12.0,0.5,0.7240816441744341,True,To what extent does the confidence seem justified?,ordinal,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability,Probability Specialist V4,,
8,3.0,Inappropriate confidence,-1.0,2.0,,ordinal,Probability,8,122.0,3.0,-0.8088286353081535,0.8088286353081535,,,Somewhat justified,,1728.0,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,0.5,0.8088286353081535,[],5.0,12.0,0.5,0.8088286353081535,True,To what extent does the confidence seem justified?,ordinal,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability,Probability Specialist V4,,
9,3.0,Inappropriate confidence,-1.0,2.0,,ordinal,Probability,9,152.0,3.0,-0.6937809990113853,0.6937809990113853,,,Somewhat justified,,1731.0,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0.5,0.6937809990113853,[],5.0,12.0,0.5,0.6937809990113853,True,To what extent does the confidence seem justified?,ordinal,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability,Probability Specialist V4,,
10,3.0,Inappropriate confidence,-1.0,2.0,,ordinal,Probability,10,145.0,3.0,-0.7327594771631538,0.7327594771631538,,,Somewhat justified,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.7327594771631538,[],5.0,12.0,0.5,0.7327594771631538,True,To what extent does the confidence seem justified?,ordinal,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability,Probability Specialist V4,,
11,3.0,Inappropriate confidence,-1.0,2.0,,ordinal,Probability,11,10.0,3.0,-0.6774443898168746,0.6774443898168746,,,Somewhat justified,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.6774443898168746,[],5.0,12.0,0.5,0.6774443898168746,True,To what extent does the confidence seem justified?,ordinal,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability,Probability Specialist V4,,
12,2.0,False precision,-1.0,5.0,,ordinal,Probability,12,137.0,2.0,-0.353759374819711,0.353759374819711,L,L,"Yes, implicitly",,1728.0,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,0.5,0.707518749639422,L,3.0,12.0,0.5,0.707518749639422,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,d0f68b50-fde6-4e33-bd5a-a2afe2836c97,Probability,Probability Specialist V4,,
13,2.0,False precision,-1.0,5.0,,ordinal,Probability,13,92.0,2.0,-0.3083120354373339,0.3083120354373339,L,L,"Yes, implicitly",,1728.0,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,0.5,0.6166240708746678,L,3.0,11.0,0.5,0.6166240708746678,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,a518dca8-66c5-4b51-85a5-bdcc4f9da03a,Probability,Probability Specialist V4,,
14,2.0,False precision,-1.0,5.0,,ordinal,Probability,14,153.0,2.0,-0.3225809556608076,0.3225809556608076,L,L,"Yes, implicitly",,1731.0,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0.5,0.6451619113216152,L,3.0,12.0,0.5,0.6451619113216152,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,d3c4ef19-4147-4d5e-9a2e-b9077308c818,Probability,Probability Specialist V4,,
15,2.0,False precision,-1.0,5.0,,ordinal,Probability,15,42.0,2.0,-0.5356603597245225,0.5356603597245225,0.4261588081274299,0.4261588081274299,"Yes, implicitly",,1737.0,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,0.5,0.6451619113216152,"[1314, 1315, 1316, 1317, 1318, 1540, 1541, 1542, 1888, 1889, 1890, 1891, 1892, 1893, 1894, 1895]",3.0,12.0,0.5,0.6451619113216152,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,49af7261-174a-4ade-a2e1-8208050e50bf,Probability,Probability Specialist V4,,could//may//believes
16,2.0,False precision,-1.0,5.0,,ordinal,Probability,16,76.0,2.0,-0.3521265155333134,0.3521265155333134,L,L,"Yes, implicitly",,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.7042530310666268,L,3.0,13.0,0.5,0.7042530310666268,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,9efd6971-6f70-447c-83a9-27de8a9f62dc,Probability,Probability Specialist V4,,
17,3.0,False precision,0.0,5.0,,ordinal,Probability,17,123.0,3.0,0.0,0.4886733329590189,L,L,No,,1728.0,b3ab388528c6115f1d85529f203b533fb84143f467acfc31d289bdc58c08d49d,0.5,0.9773466659180378,L,3.0,12.0,0.5,0.9773466659180378,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,bdc4220c-ae4b-4678-a463-b05dca7b77d2,Probability,Probability Specialist V4,,
18,3.0,False precision,0.0,5.0,,ordinal,Probability,18,130.0,3.0,0.0,0.7096657744897006,0.7313418579443755,0.7313418579443755,No,,1731.0,bad910fd0ffb399b223269afb4f75029d6e91fb55362ccaad4f28685ff1dc61e,0.5,0.6879896910350257,"[569, 570, 571, 572, 573, 574, 575, 576, 577, 578]",3.0,12.0,0.5,0.6879896910350257,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,c02cfc14-2993-4bbc-a1a1-4693f0ea0abe,Probability,Probability Specialist V4,,apparently
19,3.0,False precision,0.0,5.0,,ordinal,Probability,19,27.0,3.0,0.0,0.4935557225109384,L,L,No,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.9871114450218768,L,3.0,3.0,0.5,0.9871114450218768,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,2865558d-1d6c-48af-8f25-35371e8c8301,Probability,Probability Specialist V4,,
20,3.0,False precision,0.0,5.0,,ordinal,Probability,20,60.0,3.0,0.0,1.0,,,No,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,1.0,[],3.0,13.0,0.5,1.0,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,87192c0c-8e66-4cde-83f9-f79b193d67fc,Probability,Probability Specialist V4,,
21,3.0,False precision,0.0,5.0,,ordinal,Probability,21,11.0,3.0,0.0,0.2996351997629568,L,L,No,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.5992703995259135,L,3.0,12.0,0.5,0.5992703995259135,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,0c855bef-69cd-4d43-8a97-c35443c44d28,Probability,Probability Specialist V4,,
22,3.0,False precision,0.0,5.0,,ordinal,Probability,22,146.0,3.0,0.0,0.3070689975692526,L,L,No,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.6141379951385052,L,3.0,12.0,0.5,0.6141379951385052,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,d36cc9a6-fedd-4bd5-a7bc-978a12535c95,Probability,Probability Specialist V4,,
23,3.0,False precision,0.0,5.0,,ordinal,Probability,23,69.0,3.0,0.0,0.3103702377005251,L,L,No,,1739.0,a6a4d058630efccca1ce1f7e636ca8f3e392460db4e62c2280617edc9b209be0,0.5,0.6207404754010502,L,3.0,12.0,0.5,0.6207404754010502,True,"Does the text acknowledge that their favored theory is in any way uncertain? If so, highlight the relevant section.",ordinal,89a5ffa6-3799-419e-9df5-1c69b25c7e55,Probability,Probability Specialist V4,,
0,4.0,Writing errors,-1.25,9.0,,ordinal,Language,0,52.0,4.0,-0.8293788690975481,0.6635030952780385,,,Mildly inappropriate,,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0.5,0.6635030952780385,[],5.0,11.0,0.5,0.6635030952780385,True,How appropriate is the slang?,ordinal,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language,Language Specialist V3,,
1,4.0,Other problematic tone,-1.25,10.0,,ordinal,Language,1,53.0,4.0,-0.9526780185840552,0.7621424148672442,,,No,,1712.0,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,0.5,0.7621424148672442,[],5.0,11.0,0.5,0.7621424148672442,True,Is the slang used to denigrate a group or perspective?,ordinal,ef335a02-a550-4d8b-9cbd-fb6622ad8c8f,Language,Language Specialist V3,,
0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,Reason,,,
